iter	RMSE
302	22.04273726
303	22.00306104
304	21.96157577
305	21.9238933
306	21.80304521
307	21.76719524
308	21.68560661
309	21.56098232
310	21.4796274
311	21.43578018
312	21.3191561
313	21.29319462
314	21.18072047
315	21.04051698
316	20.95347367
317	20.85730815
318	20.80549898
319	20.66214537
320	20.60033026
321	20.49151082
322	20.43552932
323	20.31927069
324	20.22501846
325	20.20026487
326	20.12147424
327	20.03131772
328	19.93723293
329	19.83718712
330	19.76592509
331	19.69507869
332	19.6178119
333	19.51610925
334	19.49272357
335	19.46869223
336	19.39245221
337	19.36478594
338	19.31904594
339	19.23238722
340	19.16464833
341	19.05902428
342	19.03521786
343	18.96874104
344	18.88430383
345	18.84458925
346	18.75518465
347	18.69908993
348	18.60992497
349	18.56940894
350	18.46168437
351	18.37916471
352	18.33178874
353	18.27830991
354	18.24084333
355	18.12834282
356	18.03833679
357	17.96437149
358	17.90726593
359	17.83822986
360	17.78183115
361	17.74849806
362	17.7191991
363	17.64434428
364	17.60906074
365	17.54856973
366	17.45426849
367	17.43782832
368	17.38748526
369	17.30816374
370	17.21933301
371	17.12704809
372	17.04829045
373	16.98764542
374	16.89240172
375	16.82880245
376	16.75862278
377	16.68442399
378	16.6223847
379	16.59810171
380	16.53256484
381	16.50597317
382	16.44970438
383	16.4371136
384	16.42410742
385	16.40666875
386	16.32685623
387	16.27033951
388	16.17148347
389	16.1489692
390	16.11601346
391	16.0426066
392	15.97211204
393	15.93012591
394	15.88136265
395	15.80997423
396	15.76169829
397	15.73726611
398	15.66405489
399	15.59053032
400	15.54629538
401	15.53047052
402	15.48368137
403	15.45921792
404	15.41817542
405	15.35218901
406	15.31100029
407	15.2460538
408	15.20788043
409	15.12962637
410	15.10326755
411	15.09020114
412	15.07776345
413	15.06293945
414	15.0188287
415	14.94915631
416	14.93861913
417	14.8905691
418	14.87146036
419	14.81993384
420	14.7610609
421	14.74275221
422	14.68383866
423	14.65355841
424	14.64378752
425	14.60470106
426	14.59730392
427	14.53261242
428	14.47487655
429	14.4243539
430	14.36104512
431	14.32233376
432	14.29594406
433	14.25629133
434	14.20268193
435	14.1402359
436	14.07726152
437	14.03479856
438	13.9894809
439	13.98269814
440	13.94023048
441	13.87767815
442	13.82296896
443	13.80193339
444	13.71610264
445	13.67866165
446	13.65178944
447	13.6285535
448	13.60686427
449	13.5590866
450	13.54500287
451	13.53117348
452	13.51833075
453	13.47935935
454	13.46992402
455	13.45409428
456	13.4136036
457	13.38503035
458	13.37481124
459	13.33262242
460	13.32385775
461	13.31440979
462	13.26025454
463	13.221348
464	13.212205
465	13.16051462
466	13.15173744
467	13.10572578
468	13.06395499
469	13.04550203
470	13.03836917
471	13.02880174
472	12.97968277
473	12.97469765
474	12.95653134
475	12.91905533
476	12.90509604
477	12.89670837
478	12.8920168
479	12.84558429
480	12.83445615
481	12.83001387
482	12.82168109
483	12.80049055
484	12.76080605
485	12.71487506
486	12.6510328
487	12.60180964
488	12.59258124
489	12.54774987
490	12.54299854
491	12.53813274
492	12.4820225
493	12.47437805
494	12.46807341
495	12.43073795
496	12.40131301
497	12.3940196
498	12.36071552
499	12.31666053
500	12.28619756
501	12.28189478
502	12.22003398
503	12.1498823
504	12.14568651
505	12.08246522
506	12.07881901
507	12.03688663
508	12.01063974
509	11.96227549
510	11.91237018
511	11.86561401
512	11.8617181
513	11.85410112
514	11.84964731
515	11.79079354
516	11.72801882
517	11.68625497
518	11.68227633
519	11.63928305
520	11.63494538
521	11.6251093
522	11.564004
523	11.54469392
524	11.5140573
525	11.48273404
526	11.47868093
527	11.40591324
528	11.34291407
529	11.29706235
530	11.27302069
531	11.22491211
532	11.22104814
533	11.18236361
534	11.17497413
535	11.12948841
536	11.09864154
537	11.06107341
538	11.01221298
539	10.98720564
540	10.95883738
541	10.91503308
542	10.86160932
543	10.85795608
544	10.8192647
545	10.81599942
546	10.78475494
547	10.74554834
548	10.71112325
549	10.68293114
550	10.66008913
551	10.62592803
552	10.59418437
553	10.54490128
554	10.52013237
555	10.4782069
556	10.42877179
557	10.42527568
558	10.38590367
559	10.33776215
560	10.29865507
561	10.26933183
562	10.2389483
563	10.20859429
564	10.16016729
565	10.12143855
566	10.08444905
567	10.0678659
568	10.03541131
569	10.02747817
570	9.997304767
571	9.96781916
572	9.926860675
573	9.909779281
574	9.906579348
575	9.903452677
576	9.871959115
577	9.824768528
578	9.790407712
579	9.787426993
580	9.763869592
581	9.73251829
582	9.710201567
583	9.66932914
584	9.652681001
585	9.621456999
586	9.579992236
587	9.538876611
588	9.497256879
589	9.481215328
590	9.434979942
591	9.430110228
592	9.386266596
593	9.334648834
594	9.31942479
595	9.290175425
596	9.251496056
597	9.248740387
598	9.233217515
599	9.219257922
600	9.182605223
601	9.160909116
602	9.126371657
603	9.093149189
604	9.059802124
605	9.017001035
606	8.990411691
607	8.955252333
608	8.921313006
609	8.898352639
610	8.868380863
611	8.843877677
612	8.803346246
613	8.772488415
614	8.738815179
615	8.701365838
616	8.663893248
617	8.627964013
618	8.592309367
619	8.563346803
620	8.527471255
621	8.48070335
622	8.463218295
623	8.442589226
624	8.415693477
625	8.402586275
626	8.378586998
627	8.364568501
628	8.321382335
629	8.286490777
630	8.257406076
631	8.220667507
632	8.18175639
633	8.155992291
634	8.133488383
635	8.12288353
636	8.100439968
637	8.071145978
638	8.052553462
639	8.022151865
640	7.993672293
641	7.957327337
642	7.9363865
643	7.924656334
644	7.919172762
645	7.901819745
646	7.876635341
647	7.855550521
648	7.831901318
649	7.822904376
650	7.803252008
651	7.767428689
652	7.74429244
653	7.733126446
654	7.708785327
655	7.682727938
656	7.668013537
657	7.645503651
658	7.614577066
659	7.58838065
660	7.569634505
661	7.537195075
662	7.515607197
663	7.491692916
664	7.461508446
665	7.441819626
666	7.422288291
667	7.391517824
668	7.362952845
669	7.342627058
670	7.335452322
671	7.312126639
672	7.294955795
673	7.257516363
674	7.24220922
675	7.228123134
676	7.198067696
677	7.17365211
678	7.147445385
679	7.138198714
680	7.113608556
681	7.079270238
682	7.061708214
683	7.038987431
684	7.023405021
685	6.993167879
686	6.967241528
687	6.939385015
688	6.910633594
689	6.888358288
690	6.865747743
691	6.838435473
692	6.819464098
693	6.80251354
694	6.7761525
695	6.759683976
696	6.737283965
697	6.706512875
698	6.701235277
699	6.683546797
700	6.655887889
701	6.627698254
702	6.608472558
703	6.586762441
704	6.582003407
705	6.558201871
706	6.538337456
707	6.527623423
708	6.510479829
709	6.491944706
710	6.485842399
711	6.453062442
712	6.430627502
713	6.422245112
714	6.401938688
715	6.388565715
716	6.372555734
717	6.349977193
718	6.331157292
719	6.310895502
720	6.282327921
721	6.252962934
722	6.245001978
723	6.234163712
724	6.218127274
725	6.204163558
726	6.178796996
727	6.156403217
728	6.132970566
729	6.130061172
730	6.101909066
731	6.086086909
732	6.075086565
733	6.062818939
734	6.034103426
735	6.030289725
736	6.01880723
737	6.004492352
738	5.980778014
739	5.953311321
740	5.932817566
741	5.910647416
742	5.895755451
743	5.88021
744	5.867423359
745	5.861570392
746	5.842006015
747	5.823246132
748	5.799026443
749	5.773502342
750	5.76732749
751	5.763062232
752	5.738729197
753	5.714329589
754	5.688266113
755	5.660414754
756	5.63943336
757	5.620088893
758	5.61584937
759	5.587757475
760	5.570659767
761	5.549596238
762	5.532714222
763	5.51318001
764	5.497823944
765	5.476077666
766	5.453454186
767	5.432015241
768	5.414621278
769	5.38975548
770	5.38005042
771	5.370373045
772	5.350834077
773	5.33945492
774	5.335166567
775	5.32049127
776	5.302759664
777	5.291185191
778	5.266108736
779	5.262531677
780	5.258525317
781	5.249943178
782	5.232566341
783	5.225709447
784	5.208623585
785	5.192718866
786	5.176512273
787	5.155104222
788	5.149906992
789	5.134588546
790	5.125723455
791	5.115319949
792	5.106829219
793	5.090829285
794	5.076907754
795	5.064025912
796	5.055960458
797	5.034064313
798	5.012686256
799	4.994777167
800	4.974335558
801	4.959114068
802	4.937877007
803	4.928335486
804	4.916843571
805	4.896460773
806	4.875034753
807	4.859719867
808	4.841572499
809	4.827860223
810	4.813583439
811	4.800703453
812	4.780919026
813	4.762559116
814	4.742048417
815	4.733773518
816	4.713629067
817	4.704638218
818	4.696182487
819	4.675855263
820	4.660999422
821	4.647380029
822	4.632556804
823	4.629232925
824	4.623627432
825	4.606881722
826	4.591824949
827	4.567775514
828	4.560388826
829	4.549640442
830	4.529962228
831	4.515682278
832	4.506105105
833	4.490917679
834	4.479939497
835	4.466808636
836	4.448225713
837	4.42905437
838	4.417071826
839	4.401538732
840	4.380504327
841	4.374854104
842	4.364433931
843	4.356106003
844	4.348413008
845	4.333239463
846	4.311884484
847	4.306330887
848	4.298711506
849	4.289147445
850	4.273467056
851	4.258703516
852	4.245047246
853	4.232226404
854	4.221523405
855	4.207445112
856	4.197255285
857	4.183401648
858	4.178535535
859	4.175035844
860	4.170074497
861	4.155793909
862	4.154047483
863	4.143279584
864	4.131341155
865	4.12047481
866	4.109786414
867	4.098469412
868	4.089344088
869	4.074910338
870	4.056351983
871	4.046471961
872	4.036164221
873	4.031924767
874	4.022753868
875	4.009049129
876	4.002222858
877	3.988754816
878	3.976067161
879	3.967080194
880	3.957158723
881	3.942679789
882	3.934650482
883	3.91795219
884	3.910722867
885	3.907561039
886	3.892973452
887	3.88967242
888	3.879136921
889	3.876288145
890	3.864241382
891	3.84759836
892	3.834356139
893	3.821072926
894	3.803628142
895	3.790700617
896	3.789014899
897	3.782792986
898	3.778933515
899	3.770782573
900	3.769491849
901	3.756378108
902	3.749681245
903	3.738451148
904	3.726564408
905	3.709521233
906	3.692647355
907	3.67959759
908	3.678391584
909	3.676811015
910	3.665247735
911	3.651997466
912	3.63415998
913	3.627065402
914	3.621195975
915	3.605342212
916	3.59564466
917	3.580012363
918	3.568567283
919	3.55779952
920	3.546333232
921	3.535356068
922	3.523515923
923	3.507927777
924	3.50381011
925	3.49233198
926	3.475355452
927	3.461698439
928	3.460489403
929	3.44539183
930	3.434094621
931	3.420929692
932	3.412981705
933	3.398012346
934	3.387858104
935	3.379438919
936	3.378433127
937	3.373027401
938	3.359291112
939	3.358164153
940	3.34730783
941	3.332322933
942	3.322628546
943	3.31557696
944	3.312863026
945	3.3030468
946	3.292441118
947	3.283234592
948	3.277745702
949	3.270785041
950	3.25869776
951	3.244492369
952	3.233332303
953	3.224799662
954	3.21802889
955	3.209744203
956	3.202197724
957	3.196644988
958	3.187837207
959	3.182598871
960	3.170774425
961	3.1680718
962	3.159000666
963	3.149894303
964	3.137187239
965	3.132048806
966	3.121078798
967	3.114579264
968	3.108016827
969	3.105708893
970	3.101942426
971	3.090632686
972	3.085739458
973	3.072785835
974	3.061110649
975	3.05062237
976	3.045607956
977	3.036573134
978	3.031629373
979	3.030606576
980	3.018492138
981	3.006423821
982	2.993996199
983	2.985747822
984	2.976306305
985	2.971568438
986	2.963224682
987	2.954272017
988	2.952460238
989	2.942547923
990	2.929040811
991	2.917017546
992	2.908083978
993	2.901295123
994	2.89963525
995	2.891190333
996	2.883405966
997	2.873340831
998	2.872417505
999	2.863439227
